system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785316374811204347,201665829648172,6916769,0.186228126,-0.001323218,-0.013257758,0.982416332,0.004261057,-0.019174758,-0.007456850,0.033518825,-0.354341865,9.470264435,-0.026545299,-0.002338035,2.766946793,79
1785316374813973193,201665832417110,6916771,0.186233267,-0.001317517,-0.013253220,0.982415438,-0.003195793,-0.004261057,-0.006391586,0.033518825,-0.354341865,9.470264435,-0.026534246,-0.002347685,2.766936541,79
1785316374815154996,201665833598890,6916773,0.186229616,-0.001321318,-0.013255030,0.982416093,-0.006391586,-0.006391586,0.009587379,0.033518825,-0.354341865,9.470264435,-0.026539225,-0.002340793,2.766943932,79
1785316374817083245,201665835527071,6916775,0.186231434,-0.001307847,-0.013261343,0.982415736,-0.006391586,-0.021305285,-0.005326321,0.083797060,-0.395043284,9.482235909,-0.026546611,-0.002369662,2.766940594,79
1785316374819963309,201665838407138,6916777,0.186236143,-0.001310204,-0.013266440,0.982414722,-0.010652643,-0.007456850,-0.004261057,0.083797060,-0.395043284,9.482235909,-0.026557496,-0.002367056,2.766930819,79
1785316374820973873,201665839417721,6916779,0.186237067,-0.001308463,-0.013275669,0.982414424,-0.013848436,-0.005326321,-0.002130529,0.021547815,-0.379480958,9.453505516,-0.026574980,-0.002373940,2.766928911,79
1785316374823093282,201665841537120,6916781,0.186235562,-0.001314605,-0.013276942,0.982414663,-0.003195793,-0.001065264,-0.005326321,0.021547815,-0.379480958,9.453505516,-0.026579773,-0.002362304,2.766932011,79
1785316374825801753,201665844245588,6916783,0.186242223,-0.001308391,-0.013278972,0.982413411,-0.004261057,-0.018109493,-0.011717907,0.021547815,-0.379480958,9.453505516,-0.026581433,-0.002375452,2.766918659,79
1785316374827174435,201665845618262,6916785,0.186242610,-0.001299170,-0.013275664,0.982413411,0.000000000,-0.014913701,0.000000000,0.028730420,-0.389057785,9.476250648,-0.026571497,-0.002392347,2.766917944,79
1785316374829058012,201665847501838,6916787,0.186243281,-0.001312099,-0.013277426,0.982413232,-0.009587379,0.014913701,-0.007456850,0.028730420,-0.389057785,9.476250648,-0.026579775,-0.002367618,2.766916275,79
1785316374830993532,201665849437366,6916789,0.186244845,-0.001315620,-0.013281044,0.982412934,-0.006391586,-0.015978964,-0.004261057,0.044292733,-0.415394008,9.498994827,-0.026588187,-0.002362090,2.766912937,79
1785316374833074468,201665851518294,6916791,0.186251670,-0.001317764,-0.013278012,0.982411683,0.005326321,0.001065264,-0.019174758,0.044292733,-0.415394008,9.498994827,-0.026583014,-0.002356933,2.766899109,79
1785316374835046991,201665853490828,6916793,0.186241180,-0.001319206,-0.013278462,0.982413650,-0.006391586,-0.004261057,0.015978964,0.044292733,-0.415394008,9.498994827,-0.026584459,-0.002353983,2.766920328,79
1785316374837203342,201665855647178,6916795,0.186248377,-0.001310962,-0.013275397,0.982412279,-0.006391586,-0.007456850,-0.014913701,0.053869538,-0.403422982,9.469067574,-0.026575349,-0.002369235,2.766906023,79
1785316374839265106,201665857708930,6916797,0.186244220,-0.001313624,-0.013271917,0.982413113,-0.004261057,-0.011717907,-0.003195793,0.053869538,-0.403422982,9.469067574,-0.026569510,-0.002362595,2.766914368,79
1785316374841528882,201665859972714,6916799,0.186243609,-0.001311912,-0.013277421,0.982413173,-0.006391586,-0.030892665,-0.007456850,0.064643443,-0.398634583,9.502586365,-0.026579691,-0.002367993,2.766915560,79
1785316374843166739,201665861610574,6916801,0.186244115,-0.001312757,-0.013279727,0.982412994,-0.004261057,-0.008522115,-0.001065264,0.064643443,-0.398634583,9.502586365,-0.026584540,-0.002367205,2.766914606,79
1785316374845145932,201665863589771,6916803,0.186245024,-0.001305941,-0.013279147,0.982412875,-0.004261057,-0.014913701,-0.004261057,0.064643443,-0.398634583,9.502586365,-0.026580857,-0.002380406,2.766912937,79
1785316374847025568,201665865469391,6916805,0.186248615,-0.001300764,-0.013276117,0.982412279,-0.001065264,-0.014913701,-0.006391586,0.056263741,-0.404620081,9.445125580,-0.026572965,-0.002389546,2.766905785,79
1785316374848984569,201665867428415,6916807,0.186249152,-0.001299251,-0.013266456,0.982412279,0.011717907,-0.007456850,-0.007456850,0.056263741,-0.404620081,9.445125580,-0.026553417,-0.002388934,2.766904593,79
