system_time_ns,steady_time_ns,tick,q0,q1,q2,q3,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_x,rpy_y,rpy_z,temperature
1785318672701587294,203963720031121,9214525,0.639426291,-0.120255835,0.106372498,0.751902640,-0.003195793,0.009587379,-0.002130529,-3.043030262,0.050278235,9.026140213,0.006509532,0.322434038,1.733186126,79
1785318672708721697,203963727165560,9214529,0.639433980,-0.120245285,0.106364697,0.751898885,-0.013848436,-0.001065264,-0.005326321,-3.063380957,0.022744916,8.930372238,0.006508552,0.322407573,1.733168960,79
1785318672708839692,203963727283521,9214531,0.639430702,-0.120243020,0.106366530,0.751901805,-0.003195793,-0.012783172,-0.001065264,-3.063380957,0.022744916,8.930372238,0.006515985,0.322406471,1.733179212,79
1785318672710548287,203963728992112,9214532,0.639431596,-0.120244741,0.106366619,0.751900971,-0.006391586,-0.004261057,-0.006391586,-3.063380957,0.022744916,8.930372238,0.006513394,0.322409302,1.733176589,79
1785318672711651464,203963730095306,9214535,0.639435053,-0.120250598,0.106373459,0.751895905,-0.011717907,0.005326321,-0.009587379,-3.072957993,0.039504327,8.974664688,0.006514373,0.322427303,1.733164430,79
1785318672713630704,203963732074539,9214537,0.639433444,-0.120247647,0.106370807,0.751898110,-0.003195793,-0.011717907,-0.002130529,-3.072957993,0.039504327,8.974664688,0.006515034,0.322419256,1.733170033,79
1785318672715722644,203963734166469,9214538,0.639433622,-0.120246485,0.106374413,0.751897871,0.002130529,-0.004261057,-0.003195793,-3.052607059,0.067037649,8.991424561,0.006522232,0.322422236,1.733170986,79
1785318672717481262,203963735925099,9214541,0.639436007,-0.120238215,0.106380895,0.751896024,0.001065264,-0.011717907,0.000000000,-3.052607059,0.067037649,8.991424561,0.006542623,0.322417945,1.733167768,79
1785318672720056863,203963738500698,9214543,0.639432549,-0.120243117,0.106392398,0.751896501,-0.001065264,0.017044229,0.008522115,-3.069366693,0.044292733,9.039308548,0.006555289,0.322440565,1.733175755,79
1785318672722284182,203963740728008,9214545,0.639438331,-0.120240018,0.106391363,0.751892269,-0.006391586,-0.012783172,-0.014913701,-3.069366693,0.044292733,9.039308548,0.006555396,0.322434485,1.733161449,79
1785318672724017502,203963742461330,9214547,0.639438570,-0.120232739,0.106387086,0.751893878,0.006391586,-0.017044229,-0.002130529,-3.069366693,0.044292733,9.039308548,0.006558687,0.322417617,1.733163714,79
1785318672726152968,203963744596800,9214549,0.639436960,-0.120237671,0.106391147,0.751893818,-0.012783172,-0.003195793,-0.004261057,-3.068169594,0.057460841,9.035717010,0.006558900,0.322430521,1.733166099,79
1785318672727648064,203963746091889,9214551,0.639440536,-0.120234936,0.106385544,0.751892030,-0.011717907,-0.008522115,-0.008522115,-3.068169594,0.057460841,9.035717010,0.006552370,0.322418988,1.733157277,79
1785318672729493518,203963747937338,9214553,0.639438272,-0.120233610,0.106389664,0.751893580,0.005326321,-0.009587379,0.002130529,-3.070563793,0.058657940,8.987833023,0.006561621,0.322422326,1.733164191,79
1785318672731448185,203963749892010,9214555,0.639439762,-0.120227627,0.106395274,0.751892507,0.004261057,-0.010652643,-0.008522115,-3.070563793,0.058657940,8.987833023,0.006577962,0.322420478,1.733163238,79
1785318672735354747,203963753798567,9214557,0.639441431,-0.120228529,0.106405042,0.751889586,0.005326321,0.002130529,-0.005326321,-3.070563793,0.058657940,8.987833023,0.006591186,0.322434723,1.733158946,79
1785318672736038446,203963754482281,9214559,0.639443099,-0.120223321,0.106410600,0.751888156,0.008522115,-0.011717907,-0.011717907,-3.031059265,0.090979666,9.064447403,0.006606285,0.322433949,1.733156919,79
1785318672737523416,203963755967237,9214561,0.639448166,-0.120218337,0.106405847,0.751885295,-0.001065264,-0.020240022,-0.010652643,-3.031059265,0.090979666,9.064447403,0.006603505,0.322420061,1.733144879,79
1785318672739799746,203963758243559,9214563,0.639451683,-0.120213106,0.106403552,0.751883447,-0.011717907,-0.010652643,-0.004261057,-3.031059265,0.090979666,9.064447403,0.006605588,0.322408974,1.733137250,79
1785318672741376946,203963759820790,9214565,0.639455020,-0.120212056,0.106405362,0.751880527,-0.008522115,-0.005326321,-0.012783172,-3.058592558,0.056263741,8.956708908,0.006608375,0.322409749,1.733128667,79
1785318672743399503,203963761843324,9214567,0.639456630,-0.120216288,0.106418148,0.751876712,0.006391586,0.001065264,-0.010652643,-3.058592558,0.056263741,8.956708908,0.006621731,0.322433144,1.733123541,79
1785318672745566296,203963764010108,9214569,0.639452398,-0.120210804,0.106415667,0.751881540,0.005326321,-0.017044229,0.000000000,-3.051409960,0.102950670,8.972270966,0.006627329,0.322421342,1.733137250,79
1785318672747540822,203963765984642,9214571,0.639454961,-0.120203763,0.106415063,0.751880586,-0.002130529,-0.011717907,-0.006391586,-3.051409960,0.102950670,8.972270966,0.006634969,0.322409689,1.733133316,79
1785318672749360161,203963767803980,9214573,0.639454782,-0.120211907,0.106419340,0.751878798,-0.007456850,0.008522115,-0.008522115,-3.051409960,0.102950670,8.972270966,0.006630452,0.322427899,1.733130455,79
1785318672751883916,203963770327733,9214574,0.639455557,-0.120213352,0.106420584,0.751877904,-0.005326321,-0.003195793,-0.006391586,-3.070563793,0.108936176,8.967482567,0.006630089,0.322431833,1.733128428,79
1785318672753395295,203963771839116,9214577,0.639449060,-0.120219752,0.106424361,0.751881719,-0.004261057,-0.004261057,-0.003195793,-3.070563793,0.108936176,8.967482567,0.006629990,0.322446555,1.733143091,79
1785318672755990251,203963774434063,9214579,0.639450729,-0.120211281,0.106413588,0.751883209,-0.003195793,-0.023435814,0.003195793,-3.059789658,0.062249243,8.975862503,0.006624182,0.322419345,1.733141541,79
1785318672759607122,203963778050954,9214583,0.639445364,-0.120211840,0.106419355,0.751886845,-0.009587379,0.000000000,-0.008522115,-3.059789658,0.062249243,8.975862503,0.006634752,0.322427750,1.733156323,79
1785318672761671385,203963780115217,9214585,0.639442563,-0.120212816,0.106418505,0.751889229,-0.010652643,0.000000000,-0.001065264,-3.047818661,0.059855044,8.995016098,0.006633345,0.322428107,1.733163595,79
1785318672766380958,203963784824801,9214589,0.639445782,-0.120200276,0.106414914,0.751888990,-0.004261057,-0.009587379,-0.003195793,-3.031059265,0.083797060,8.963891029,0.006643634,0.322404057,1.733159900,79
1785318672769149525,203963787593352,9214591,0.639445424,-0.120201841,0.106417976,0.751888633,-0.005326321,-0.002130529,-0.004261057,-3.031059265,0.083797060,8.963891029,0.006646405,0.322410494,1.733160496,79
1785318672772125069,203963790568938,9214595,0.639439404,-0.120201670,0.106422208,0.751893163,-0.008522115,0.006391586,0.004261057,-3.068169594,0.058657940,8.999804497,0.006655904,0.322415739,1.733177185,79
1785318672773750942,203963792194773,9214597,0.639436245,-0.120209783,0.106420852,0.751894712,-0.015978964,-0.002130529,0.002130529,-3.068169594,0.058657940,8.999804497,0.006643981,0.322426438,1.733182192,79
1785318672775923382,203963794367214,9214599,0.639434338,-0.120210521,0.106420122,0.751896322,-0.007456850,-0.009587379,-0.003195793,-3.063380957,0.107739076,8.996212959,0.006642669,0.322426617,1.733187079,79
1785318672777806989,203963796250820,9214601,0.639428735,-0.120210737,0.106420845,0.751900971,-0.005326321,-0.006391586,0.004261057,-3.063380957,0.107739076,8.996212959,0.006646000,0.322427869,1.733202457,79
1785318672780141181,203963798585005,9214603,0.639428914,-0.120215826,0.106419906,0.751900136,-0.005326321,-0.007456850,-0.006391586,-3.063380957,0.107739076,8.996212959,0.006637427,0.322434485,1.733199596,79
1785318672781886566,203963800330393,9214605,0.639425874,-0.120219275,0.106428258,0.751900971,0.001065264,0.003195793,-0.002130529,-3.074155092,0.077811554,9.002198219,0.006647015,0.322450727,1.733206987,79
1785318672784229998,203963802673823,9214607,0.639416695,-0.120229177,0.106428258,0.751907229,-0.011717907,0.004261057,0.007456850,-3.074155092,0.077811554,9.002198219,0.006637423,0.322465986,1.733227968,79
1785318672786013280,203963804457110,9214609,0.639402926,-0.120239027,0.106426708,0.751917541,-0.017044229,0.002130529,0.008522115,-3.055001259,0.108936176,9.010578156,0.006627521,0.322479010,1.733261108,79
